category,img_src
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.09.21\4088600401218_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\30.09.21\4088600401201_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.01.22\4088600401225_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600014067_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\8006540692356_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600014050_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\12.05.22\4061461433932_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600014043_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\8006540692479_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4015400284888_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4088600014012_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\03.08.21\4015400284857_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\02.09.22\8006540692417_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21\4088600014029_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/8006540709610_0.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.23\8006540709436_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/8006540709559_0.jpg
period_products,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/28.03.23/8006540709498_0.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\11.08.21\4088600014036_0_XL.jpg
period_products,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\28.03.23\8006540709375_0_XL.jpg
