category,img_src
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/26.09.22/4088600440965_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256238_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600440934_0_XL.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256207_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256221_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\26.09.22\4088600440958_0_XL.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600256245_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/resized\$Aldi_GB\19.05.22\4088600443287_0_XL.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600007397_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600007410_0.jpg
flavoured_water,https://aldprdproductimages.azureedge.net/media/$Aldi_GB/29.09.22/4088600007403_0.jpg
